ASV,zr2757_10V3V4,zr2757_1V3V4,zr2757_2V3V4,zr2757_3V3V4,zr2757_4V3V4,zr2757_5V3V4,zr2757_6V3V4,zr2757_7V3V4,zr2757_8V3V4,zr2757_9V3V4
ASV_1,37,91,52,40,69,28,11,122,98,21
ASV_2,55,30,52,58,168,39,8,60,34,13
ASV_3,8,41,43,50,226,24,11,14,77,21
ASV_4,47,49,31,39,48,106,70,57,26,30
ASV_5,45,9,61,38,47,73,36,60,49,16
ASV_6,49,59,22,56,92,49,7,67,9,10
ASV_7,29,19,26,18,138,28,66,44,20,13
ASV_8,25,57,14,54,147,16,15,44,15,1
ASV_9,27,0,32,48,130,53,18,41,15,18
ASV_10,30,42,6,69,49,98,31,32,10,13
ASV_11,64,21,19,17,27,61,35,81,23,27
ASV_12,70,17,24,18,20,23,35,74,31,60
ASV_13,65,3,32,5,30,52,91,49,17,11
ASV_14,51,15,24,21,22,14,38,43,66,54
ASV_15,70,47,23,21,64,6,13,84,4,11
ASV_16,6,31,15,47,188,11,2,25,17,1
ASV_17,11,22,44,32,120,57,6,16,24,8
ASV_18,42,20,13,29,81,6,29,61,17,32
ASV_19,14,8,54,8,39,61,33,42,62,7
ASV_20,5,2,2,54,214,5,15,4,8,3
ASV_21,35,15,16,18,49,35,49,58,23,5
ASV_22,23,35,23,46,108,4,19,30,8,5
ASV_23,72,61,0,42,65,2,0,56,0,0
ASV_24,13,28,41,45,101,8,8,33,17,4
ASV_25,17,17,26,15,59,114,24,12,8,5
ASV_26,34,15,16,11,77,28,46,44,4,8
ASV_27,19,22,31,69,75,14,5,16,14,18
ASV_28,22,2,34,61,89,12,27,17,9,9
ASV_29,0,1,62,2,11,7,13,0,168,18
ASV_30,0,0,12,77,146,8,30,0,1,8
ASV_31,70,24,10,24,36,11,5,70,25,4
ASV_32,68,10,17,21,12,16,23,42,56,14
ASV_33,88,13,17,18,20,11,26,70,4,8
ASV_34,5,25,41,38,51,19,58,4,18,13
ASV_35,3,2,23,3,3,8,12,11,180,23
ASV_36,134,6,0,0,0,0,0,126,0,1
ASV_37,71,12,6,28,47,0,6,87,5,3
ASV_38,37,30,10,37,80,9,14,42,4,2
ASV_39,0,0,74,0,0,21,47,0,80,43
ASV_40,0,0,47,20,80,6,11,0,62,39
ASV_41,49,13,11,1,2,8,13,98,65,3
ASV_42,65,14,0,11,41,22,0,109,0,0
ASV_43,26,10,30,18,14,36,34,28,33,32
ASV_44,78,62,0,23,26,2,4,65,0,0
ASV_45,18,32,12,28,41,18,16,26,32,37
ASV_46,40,32,19,26,22,30,19,53,4,9
ASV_47,25,22,12,39,35,65,20,19,5,11
ASV_48,20,4,29,20,100,11,1,35,27,6
ASV_49,15,12,30,18,55,26,27,8,53,9
ASV_50,13,22,2,56,64,7,63,14,7,4
