,Kingdom,Phylum,Class,Order,Family,Genus
ASV1,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV2,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA
ASV3,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Heliobacteriaceae,NA
ASV4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV5,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera
ASV6,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV7,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV8,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA
ASV9,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV10,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV11,Bacteria,NB1-j,NA,NA,NA,NA
ASV12,Bacteria,Acidobacteriota,Subgroup_5,NA,NA,NA
ASV13,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA
ASV15,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV16,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
ASV17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga
ASV18,Bacteria,Acidobacteriota,Subgroup_5,NA,NA,NA
ASV19,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
ASV20,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
ASV21,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1
ASV22,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV23,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA
ASV24,Archaea,Halobacterota,Methanocellia,Methanocellales,Methanocellaceae,Rice_Cluster_I
ASV25,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora
ASV26,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
ASV28,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
ASV29,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
ASV30,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV31,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV32,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV33,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,NA,NA
ASV34,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
ASV35,Bacteria,Acidobacteriota,Subgroup_18,NA,NA,NA
ASV36,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1
ASV37,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV38,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus
ASV39,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV40,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter
ASV41,Bacteria,Sva0485,NA,NA,NA,NA
ASV42,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Thermosporothrix
ASV43,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA
ASV44,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV45,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV46,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV48,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV49,Bacteria,Chloroflexi,TK10,NA,NA,NA
ASV50,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV51,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia
ASV52,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV53,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter
ASV54,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
ASV55,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax
ASV57,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA
ASV59,Bacteria,Acidobacteriota,Subgroup_18,NA,NA,NA
ASV60,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV61,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1
ASV62,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
ASV63,Bacteria,MBNT15,NA,NA,NA,NA
ASV64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter
ASV65,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella
ASV66,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV67,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV69,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV70,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV71,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA
ASV72,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter
ASV73,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,NA
ASV74,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV75,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
ASV76,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV77,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV78,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV79,Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA
ASV80,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV81,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA
ASV82,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV83,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,NA
ASV84,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV85,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV86,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV87,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067
ASV88,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,NA
ASV89,Archaea,Halobacterota,Methanocellia,Methanocellales,Methanocellaceae,Methanocella
ASV90,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV91,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV92,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV93,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV94,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA
ASV95,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,NA
ASV96,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA
ASV97,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV98,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV99,Bacteria,Firmicutes,Limnochordia,Limnochordia_or,Limnochordia_fa,Hydrogenispora
ASV100,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,NA
ASV101,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,NA
ASV102,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
ASV103,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV104,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV105,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA
ASV106,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV107,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV108,Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,NA
ASV109,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV110,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
ASV111,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV112,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
ASV113,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV114,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
ASV115,Bacteria,Actinobacteriota,NA,NA,NA,NA
ASV116,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA
ASV117,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV118,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV119,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
ASV120,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV121,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter
ASV122,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
ASV123,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV124,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA
ASV125,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola
ASV126,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
